Journal,Link,Field,Keywords
IEEE Transactions on Neural Networks and Learning Systems,https://cis.ieee.org/publications/t-neural-networks-and-learning-systems,AI/ML,"neural networks, learning systems, ijcnn, nntc, research, applications, theory, design, ieee transactions"
IEEE Transactions on Pattern Analysis and Machine Intelligence,https://www.computer.org/csdl/journal/tp,AI/ML,"artificial intelligence, machine intelligence, pattern recognition, computer vision, image analysis, pattern analysis, statistical pattern recognition, structural pattern recognition, ai theories, ai methodologies"
Journal of Machine Learning Research,https://www.jmlr.org/,AI/ML,"machine learning, deep learning, learning representations, cutting-edge research, high-quality publication, academic conferences, academic journals, theoretical issues in deep learning, societal considerations"
Nature Machine Intelligence,https://www.nature.com/natmachintell/,AI/ML,"automation, chemistry, robotics, neural systems, artificial systems, algorithmic hiring, algorithmic bias, research trends"
Journal of Artificial Intelligence Research (JAIR),https://jair.org/index.php/jair,AI/ML,"artificial intelligence research, jair, research publication, submission guidelines, peer review, ai conferences, ai journals, research dissemination"
International Journal of Computer Vision,https://www.springer.com/journal/11263,AI/ML,"machine learning, computer vision, representation learning, natural language processing, pattern recognition, robotics, computational biology, speech recognition, academic conferences"
Pattern Recognition,https://www.journals.elsevier.com/pattern-recognition,AI/ML,"computer vision, pattern recognition, cvpr, workshops, tutorials, conference program"
Expert Systems with Applications,https://www.journals.elsevier.com/expert-systems-with-applications,AI/ML,"database, expert systems applications, data management, knowledge management, peer review, publishing ethics, dexa conference, research topics"
Neurocomputing,https://www.journals.elsevier.com/neurocomputing,AI/ML,"neural networks, deep learning, graph neural networks, recommendations, conference, artificial intelligence, research"
Knowledge-Based Systems,https://www.journals.elsevier.com/knowledge-based-systems,AI/ML,"knowledge-based systems, program design, explanation-based learning, decision support, system sciences"
Neural Networks,https://www.journals.elsevier.com/neural-networks,AI/ML,"neural networks, optical technologies, digital techniques, scaling up, technology competitiveness, forward-looking discussions, ijcnn, icann, incubator meeting"
Applied Soft Computing,https://www.journals.elsevier.com/applied-soft-computing,AI/ML,"applied soft computing, communication networks, applied aerodynamics, applied electrical engineering, conference proceedings, soft computing, aerodynamics, electrical engineering, applied research"
Artificial Intelligence Review,https://www.springer.com/journal/10462,AI/ML,"artificial intelligence, machine learning, economic impact, ai regulation, ai policy, agency use of ai, retrospective review"
ACM Transactions on Intelligent Systems and Technology,https://dl.acm.org/journal/tist,AI/ML,"intelligent systems, intelligent user interfaces, acm, research, evaluation, conferences, journals, deployed systems, technology"
Foundations and Trends in Machine Learning,https://www.nowpublishers.com/mal,AI/ML,"machine learning, ai, machine learning systems, conferences, human learning simulation, problem solving, decision making, autonomy, creativity, trends in machine learning"
Science Robotics,https://www.science.org/journal/scirobotics,AI/ML,"rss 2025, robotics, automation, machine vision, computational biology, speech recognition, text understanding, gaming"
IEEE Computational Intelligence Magazine,https://cis.ieee.org/publications/ci-magazine,AI/ML,"computational intelligence, emerging topics, ieee, academic journals, conferences, scholarly publishing, electronic publication, manuscript submission"
IEEE Transactions on Information Forensics and Security,https://www.signalprocessingsociety.org/publications-resources/ieee-transactions-information-forensics-and-security,Cybersecurity,"ieee, communications, computational intelligence, computer science, biomedical engineering, information forensics, security, signal processing, image processing"
ACM Transactions on Privacy and Security,https://dl.acm.org/journal/tops,Cybersecurity,"computer security, privacy, acm, security conferences, academic publishing, security research, ccs (conference on computer and communications security), acm digital library"
Journal of Cybersecurity,https://academic.oup.com/cybersecurity,Cybersecurity,"cybersecurity, artificial intelligence (ai), cybercrime, computer science, systems, interdisciplinary research, cyber technology, project management, education, law"
Computers & Security,https://www.journals.elsevier.com/computers-and-security,Cybersecurity,"computer security, information systems security, communications security, security applications, acsac, acm ccs, audit, control, security research"
IEEE Security & Privacy,https://www.computer.org/csdl/magazine/sp,Cybersecurity,"computer security, privacy, s&p, academic workshop, call for papers, submission deadline, technical proposal, research topics, workshop organization, abstracts"
Journal of Biomedical Informatics,https://www.journals.elsevier.com/journal-of-biomedical-informatics,Health Informatics,"informatics, clinical informatics, biomedical and health informatics (bhi), continuing education, all of us research program, firearm injury prevention, jamia, health conferences, medical research"
Journal of the American Medical Informatics Association (JAMIA),https://academic.oup.com/jamia,Health Informatics,"biomedical informatics, health informatics, jamia, amia annual symposium, all of us research program, firearm injury risk detection, scientific research"
International Journal of Medical Informatics,https://www.journals.elsevier.com/international-journal-of-medical-informatics,Health Informatics,"health information systems, clinical informatics, jamia, all of us research program, firearm injury risk detection, continuing education, academic conferences, informatics, journal articles, focus issues"
IEEE Journal of Biomedical and Health Informatics,https://jbhi.embs.org/,Health Informatics,"biomedical and health informatics (bhi), health informatics, biomedical engineering, academic conference, journal publication, ieee, research advancements, academia, scholarly publishing"
BMC Medical Informatics and Decision Making,https://bmcmedinformdecismak.biomedcentral.com/,Health Informatics,"medical informatics, clinical decision making, health informatics, bioinformatics, computational biology, information technologies, healthcare setting, research methods"
Methods of Information in Medicine,https://www.thieme.de/de/methods-information-medicine/journal-information-121222.htm,Health Informatics,"healthcare innovation, healthcare technology, reproductive medicine, fertility care, research, public health, climate change, covid-19, environmental health, health policy"
